City,State,Type,Description
CRISFIELD,MD,chime,Asbury United Methodist Church
CUMBERLAND - ACC,MD,chime,Allegany College of Maryland (was Allegany Community College)
CUMBERLAND - STP,MD,chime,St.Paul's Lutheran Church (ELCA)
EMMITSBURG,MD,chime,Pangborn Memorial Campanile, The National Shrine of Our Lady
FREDERICK - BP,MD,trad,The Joseph Dill Baker Memorial Carillon, Baker Park
FREDERICK - C,MD,ring,Calvary United Methodist Church
FREDERICK - E,MD,chime,Trinity Chimes, Trinity Chapel, Evangelical Reformed Church (UCC)
MCDONOGH,MD,trad,The McDonogh Carillon, Tagart Memorial Chapel, McDonogh School
Princess Anne,MD,ring,St.Andrew's Episcopal Church
SALISBURY - SU,MD,trad,Brown & Church Carillon, Patricia R. Guerrieri Academic Commons, Salisbury University
SALISBURY - TM,MD,chime,Phillips Memorial Chime, Trinity United Methodist Church
AMHERST - A,MA,chime,Stearns Steeple, Amherst College
AMHERST - UM,MA,trad,Warren Elmer Hinds Memorial Chime, Henry Vincent Couper Memorial Carillon, Old Chapel, University of Massachusetts (formerly Mass. State College)
ANDOVER,MA,non-trad,Samuel Lester Fuller Carillon, Memorial Tower, Phillips Academy
ARLINGTON,MA,chime,St.Camillus Parish (RC)
BEVERLY,MA,chime,First Parish Unitarian Church
BOSTON - A,MA,chime,Phillips Chime, Arlington Street Church (Unitarian-Universalist)
BOSTON - AS,MA,chime,All Saints Church (Episcopal)
BOSTON - CA,MA,ring,Church of the Advent (Episcopal)
BOSTON - CC,MA,ring,Christ Church ("Old North"; Episcopal)
BOSTON - FCC/2,MA,chime,West tower, First Church of Christ, Scientist
BOSTON - FCC/3,MA,chime,East tower, First Church of Christ, Scientist
BROCKTON,MA,chime,Mt.Moriah Baptist Church (was First Parish Church, Unitarian)
BROOKLINE - H,MA,chime,The United Parish in Brookline (ABC/UCC/UMC) (was Harvard Cong. Church)
CAMBRIDGE - CC,MA,chime,Christ Church in Cambridge (Episcopal)
CAMBRIDGE - HU,MA,zvon/great,Lowell House, Harvard University
CLINTON,MA,chime,St.John the Evangelist RC Church
COHASSET,MA,trad,The Cohasset Carillon (formerly known as the Bancroft Memorial Carillon or the Jesse M. Barron Memorial Carillon), St.Stephen's Episcopal Church
DEDHAM,MA,chime,St.Paul's Episcopal Church
EAST NORTHFIELD,MA,trad,*See MOUNT HERMON,MA,non-trad
FAIRHAVEN,MA,chime,Memorial Unitarian Church (originally Rogers Memorial Church)
FALL RIVER - HS,MA,trad,B.M.C. Durfee High School [new]
GLOUCESTER,MA,trad,West Tower, Church of Our Lady of Good Voyage (RC)
GROTON,MA,ring,St.John's Chapel, Groton School
HAVERHILL,MA,chime,Trinity Episcopal Church
HINGHAM,MA,ring/chime,Hingham Memorial Bell Tower
HOLYOKE - HC,MA,chime,Holy Cross Catholic Church
HOLYOKE - SH,MA,chime,Our Lady of Guadelupe Church (RC) (was Church of the Sacred Heart)
HOPEDALE,MA,chime,Hopedale Unitarian Church
HYANNIS,MA,non-trad,Christmas Tree Shops
HYDE PARK,MA,chime,Church of the Most Precious Blood (RC)
LAWRENCE,MA,chime,St.Mary of the Assumption RC Church
LOWELL - STA,MA,chime,St.Anne's Episcopal Church
LOWELL - STP,MA,chime,St.Patrick RC Church
LYNN,MA,chime,St.Stephen's Memorial Episcopal Church
MALDEN - 2,MA,chime,First Baptist Church of Malden (ABC)
MEDFORD - G,MA,chime,Grace Episcopal Church
MEDFORD - STJ,MA,chime,St.Joseph's RC Church
MEDFORD - TU,MA,non-trad,Bowen-Tilton Memorial Carillon, Goddard Chapel, Tufts University
MILTON,MA,chime,St.Agatha's RC Church
MOUNT HERMON,MA,non-trad,McRoberts Memorial Carillon, The Rhodes Center for the Arts, Northfield Mount Hermon School
NEW BEDFORD - G,MA,chime,Grace Episcopal Church
NEW BEDFORD - STL,MA,chime,St.Lawrence Martyr RC Church
NEWTON - G,MA,chime,The Eldridge Chime, Grace Episcopal Church
NEWTON CENTER,MA,chime,"America" Tower, First Baptist Church in Newton (ABC)
NORTH ADAMS - STF,MA,chime,St.Francis of Assisi Catholic Church
NORTH ANDOVER,MA,non-trad,First-Calvary Baptist Church (ABC)
NORTH ATTLEBORO,MA,chime,St.Mary of the Immaculate Conception RC Church
NORTHAMPTON - 1,MA,trad,Dorothea Carlile Carillon, College Hall Tower, Smith College
NORTHAMPTON - 2,MA,ring,Mendenhall Center for the Performing Arts, Smith College
NORWOOD,MA,trad,Walter F. Tilton Memorial Carillon, Norwood Memorial Municipal Building (Soldiers Memorial, WW I)
ORLEANS,MA,ring,Church of The Transfiguration, The Community of Jesus (Benedictine)
PLYMOUTH,MA,chime,Christ Episcopal Church
ROXBURY,MA,chime,Basilica of Our Lady of Perpetual Help (Roman Catholic Mission Church)
SALEM,MA,chime,St.Peter's Episcopal Church
SCITUATE,MA,chime,The Lawson Tower (originally Observatory Tower, Dreamwold, Egypt)
SOMERVILLE,MA,chime,Mission Church of Christ (originally Unitarian Universalist)
SPRINGFIELD -- CT,MA,chime,Clock Tower
SPRINGFIELD - HPC,MA,trad,Hillcrest Park Cemetery
SPRINGFIELD - TM,MA,trad,Trinity Singing Tower, Trinity United Methodist Church
STOCKBRIDGE,MA,chime,Dudley Field Memorial Tower (also called "Children's Chime Tower")
WALTHAM,MA,chime,Beth Eden Baptist Church (ABC)
WATERTOWN - PIB,MA,ring,Perkins Institute for the Blind
WATERTOWN - STJ,MA,chime,St.John's United Methodist Church
WELLESLEY,MA,trad,Galen L. Stone Tower, Green Hall, Wellesley College
WEST NEWTON,MA,chime,First Unitarian Church
WESTBOROUGH,MA,chime,St.Luke the Evangelist Catholic Church
WILLIAMSTOWN,MA,chime,Thompson Memorial Chapel (UCC), Williams College
WINCHESTER - U,MA,chime,Unitarian Church of Winchester (First Unitarian Church)
ALLENDALE,MI,trad,Cook Carillon; Cook Carillon Tower; Grand Valley State University
ANN ARBOR - K,MI,chime,Kerrytown Chime; Kerrytown Shops
ANN ARBOR - UM/1,MI,trad,Charles Baird Carillon; Marion Leroy Burton Memorial Tower; Main Campus; University of Michigan
ANN ARBOR - UM/2,MI,trad,Ann & Robert H. Lurie Carillon; North Campus; University of Michigan
BENTON HARBOR,MI,chime,First Congregational Church (UCC)
BIRMINGHAM,MI,non-trad,St.James Episcopal Church
BLOOMFIELD HILLS - BSL,MI,non-trad,Beautiful Savior Luth. Church (ELCA) (also "Saviour")
BLOOMFIELD HILLS - CCC,MI,trad,The Wallace Carillon; Christ Church Cranbrook
BLOOMFIELD HILLS - KH/1,MI,trad,The Tower of the Apostles; Kirk in the Hills (Presbyterian/PCUSA)
BLOOMFIELD HILLS - KH/2,MI,chime,The Children's Bells of Blessing; Kirk in the Hills (Presbyterian/PCUSA)
BLOOMFIELD HILLS - STH,MI,trad,St.Hugo of the Hills Catholic Church
DETROIT - CC,MI,chime,Christ Church Detroit (Episcopal) (also called Old Christ Church)
DETROIT - CPB,MI,chime,St.Peter Claver Catholic Community (was Church of the Precious Blood)
DETROIT - HR,MI,chime,Holy Redeemer RC Church
DETROIT - JAPC,MI,trad,Jefferson Avenue Presbyterian Church
DETROIT - STAN,MI,chime,Basilica of Ste.Anne de Detroit
DETROIT - STMR,MI,trad,St.Mary of Redford Catholic Church
DETROIT - STPP,MI,chime,SS.Peter & Paul RC Church
DETROIT - STS,MI,chime,St.Stephen's (Polish) Catholic School
DETROIT - TE,MI,chime,Trinity Episcopal Church
DETROIT - TL,MI,chime,Historic Trinity Lutheran Church (LCMS)
EAST LANSING,MI,trad,Beaumont Tower; Michigan State University
FLINT - FB,MI,chime,Woodside Church (ABC/UCC) (First Baptist Church of Flint)
FLINT - FP,MI,chime,First Presbyterian Church (PCUSA)
FLINT - GMI,MI,non-trad,Alumni Tower; Kettering University (formerly General Motors Institute)
FRANKENMUTH,MI,non-trad,Glockenspiel Tower; Bavarian Inn
GAYLORD,MI,non-trad,Glen's Markets; Alpine Village
GRAND RAPIDS - GVSU,MI,trad,Beckering Family Carillon Tower; DeVos Center; Grand Valley State University
GRAND RAPIDS - F,MI,chime,Fountain Street Church (non-denom.) (was Fountain Street Baptist Church)
GRAND RAPIDS - STA,MI,chime,Cathedral of St.Andrew (RC)
GROSSE POINTE FARMS - CC,MI,trad,Christ Church
GROSSE POINTE FARMS - GPMC,MI,trad,Memorial Tower; The Grosse Pointe Memorial Church
GROSSE POINTE FARMS - J,MI,chime,Joy Bells Park
HOLLAND - DV,MI,non-trad,Bell Tower building; Nelis' Dutch Village
KALAMAZOO - KC,MI,ring,Stetson Chapel; Kalamazoo College
LAKE ORION,MI,non-trad,Olde World Canterbury Village
LANSING - C,MI,trad,Christopher Hansen Memorial Carillon; Central United Methodist Church
LAPEER,MI,chime,Immaculate Conception of the Blessed Virgin Mary Catholic Church
MANISTEE,MI,chime,Guardian Angels RC Church
MIDLAND - P,MI,chime,The Bertha E. R. Strosacker Memorial Presbyterian Church
MIDLAND - S,MI,chime,Santa House
ROCHESTER,MI,trad,Elliott Carillon Tower; Oakland University
SAINT JOHNS,MI,chime,Redeemer Church - St.Johns Campus (was First United Methodist Church)
SAULT SAINTE MARIE,MI,chime,St.James' Episcopal Church
FARIBAULT,MN,chime,Bishop Whipple Memorial Chime; Bishop Whipple Memorial Tower; Cathedral of Our Merciful Saviour (Episcopal)
MINNEAPOLIS - BS,MN,non-trad,Chapel of the Holy Spirit; Breck School
MINNEAPOLIS - C,MN,chime,Minneapolis City Hall - Hennepin County Courthouse
MINNEAPOLIS - CL,MN,trad,Central Lutheran Church (ELCA)
MINNEAPOLIS - NHCC,MN,non-trad,North Hennepin Community College (formerly N. Hennepin Junior College)
MINNEAPOLIS - STM,MN,non-trad,St.Mark's Episcopal Cathedral
MINNEAPOLIS - STO,MN,chime,Church of St.Olaf (RC) (formerly Church of the Redeemer, Universalist)
Minneapolis,MN,great,Westminster Presbyterian Church
NEW ULM,MN,non-trad,Ted Schonlau Memorial Carillon; Schonlau Park Plaza
ROCHESTER,MN,trad,The Rochester Carillon; Plummer Building; Mayo Clinic
SAINT PAUL - HC,MN,chime,Holy Childhood RC Church
SAINT PAUL - HHPC,MN,trad,Noyes Memorial Carillon; House of Hope Presbyterian Church (PCUSA)
SAINT PAUL - STL,MN,non-trad,Church of St.Louis, King of France; "The Little French Church"
STILLWATER,MN,chime,St.Michael's RC Church
WINONA,MN,chime,Winona United Methodist Church (was Central United Methodist Church)
JACKSON,MS,chime,St.Andrew's Episcopal Cathedral
OXFORD,MS,non-trad,Peddle Bell Tower; Paris-Yates Chapel; The University of Mississippi
VICKSBURG,MS,chime,St.Paul Catholic Church
INDEPENDENCE,MO,chime,First Presbyterian Church
KANSAS CITY - IB,MO,chime,Independence Boulevard Christian Church (Disciples of Christ)
KANSAS CITY - IC,MO,chime,Cathedral of the Immaculate Conception (Roman Catholic)
KANSAS CITY - V,MO,chime,Visitation of the Blessed Virgin RC Church
RIVERSIDE,MO,coll,Red-X General Store
SAINT LOUIS - CS,MO,trad,Luther Tower; Concordia Seminary
SAINT LOUIS - PCC,MO,chime,Pilgrim Congregational Church (UCC)
SAINT LOUIS - Z,MO,chime,Zion Lutheran Church (LCMS)
SPRINGFIELD -- SMS,MO,trad,Jane A. Meyer Carillon; Duane G. Meyer Library; Southwest Missouri State University
HELENA,MT,chime,St.Helena's RC Cathedral
MISSOULA,MT,trad,Ellis Tower; Main Hall; University of Montana
COLUMBUS,NE,chime,Columbus Quincentenary Belltower; Pawnee Park
ELGIN,NE,coll,Bells of the Prairie
GERING,NE,non-trad,Dwight Palmer Griswold Memorial
HASTINGS - FM,NE,chime,First United Methodist Church
HASTINGS - HC,NE,coll,(in storage); Hastings College
KEARNEY,NE,non-trad,Kearney State College Mem'l Carillon Tower; Univ. of Nebraska at Kearney
LINCOLN - FP/1,NE,trad,Carrie Isabelle Raymond Mem'l Carillon; First-Plymouth Congregational Church
LINCOLN - FP/2,NE,non-trad,Chamber carillon (indoors); First-Plymouth Congregational Church
LINCOLN - STP,NE,chime,McKinley Memorial Chime; St.Paul United Methodist Church
OMAHA - T,NE,chime,Trinity Cathedral (Episcopal)
OMAHA - UNO,NE,trad,Henningson Memorial Campanile; University of Nebraska at Omaha
LAS VEGAS - SC,NV,non-trad,Smith Center for the Performing Arts
RENO,NV,non-trad,Bonnie Jean Richardson Carillon; Trinity Episcopal Church
ALSTEAD,NH,chime,Vilas Pool Recreational Area (former estate of Chas. N. Vilas)
CONCORD - C,NH,chime,St.Paul's Episcopal Church
CONCORD - S,NH,trad,Houghton Memorial Carillon; Chapel of St.Peter and St.Paul; St.Paul's School
DOVER,NH,chime,St.John's United Methodist Church
HANOVER,NH,chime,Baker Memorial Library; Dartmouth College
MANCHESTER,NH,chime,Governor Frederick Smythe Chimes; Brookside Congregational Church (UCC) (was Franklin Street Cong. Church)
MILFORD,NH,chime,First Congregational Church (UCC)
NASHUA - FC,NH,chime,Mary Park Nutt Memorial Chime; The First Church, Congregational (UCC)
NASHUA - STP,NH,chime,St.Patrick's Catholic Church
PETERBOROUGH,NH,chime,All Saints Episcopal Church
PORTSMOUTH,NH,chime,Christ Episcopal Church
ATLANTIC CITY - FP,NJ,chime,First United Presbyterian Church
BRIDGETON,NJ,chime,Iglesia la Luz del Mundo (was Central United Methodist Church)
BURLINGTON,NJ,ring,St.Mary's Episcopal Church
CAMDEN,NJ,chime,First Methodist Church
DOVER,NJ,chime,First Memorial Presbyterian Church
EAST ORANGE,NJ,chime,Our Lady Help of Christians Church
ELIZABETH,NJ,chime,St.Patrick's Roman Catholic Church
ENGLEWOOD,NJ,chime,St.Cecilia's RC Church
GLOUCESTER CITY,NJ,chime,St.Mary's Catholic Church
HARRISON,NJ,chime,Holy Cross Catholic Church
Hoboken,NJ,great,(unknown)
HOWELL,NJ,zvon,St.Alexander Nevsky Cathedral
JERSEY CITY - STA,NJ,chime,St.Aedan's Catholic Church
JERSEY CITY - STJ,NJ,chime,St.John the Baptist RC Church
JERSEY CITY - STPT,NJ,chime,St.Patrick's Catholic Church
LAKEWOOD,NJ,non-trad,Winkelmann's Restaurant
MORRISTOWN,NJ,trad,St.Peter's Episcopal Church
NEW BRUNSWICK - S,NJ,non-trad,Charavay Memorial Carillon; Chapel; New Brunswick Theological Seminary (Dutch Reformed)
NEW BRUNSWICK - STP,NJ,chime,St.Peter the Apostle Catholic Church
NEWARK - BSC,NJ,chimola,Blessed Sacrament Catholic Church
NEWARK - CBSH,NJ,chime,Cathedral Basilica of the Sacred Heart
NEWARK - SHC,NJ,chime,Sacred Heart RC Church (Vailsburg)
NEWARK - STA,NJ,chime,St.Aloysius' Catholic Church
NEWARK - STJO,NJ,chime,St.John's Catholic Church
NEWARK - STM,NJ,chime,St.Michael's Catholic Church
NEWARK - STP,NJ,chime,St.Patrick's Pro-Cathedral (RC)
Newark,NJ,great,(unknown)
OCEAN CITY - T,NJ,chime,Ocean City Tabernacle
ORANGE - OV,NJ,chime,Love of Jesus Family Church (was Orange Valley Congregational Church, later Highland Avenue Cong.Church)
ORANGE - STJ,NJ,chime,St.John the Evangelist Catholic Church
PATERSON - STJ,NJ,chime,Cathedral of St.John the Baptist (RC)
PATERSON - STMI,NJ,chime,St.Michael's Russian Orthodox Church (or Cathedral) (ROCOR)
PERTH AMBOY,NJ,chime,Simpson United Methodist Church
PLAINFIELD,NJ,trad,Pittis Carillon; Grace Episcopal Church
PRINCETON - PU,NJ,trad,The Class of 1892 Bells; Grover Cleveland Tower; Graduate College; Princeton University
PRINCETON - T,NJ,chime,Trinity Episcopal Church
RED BANK,NJ,chime,St.James' Catholic Church
RUMSON,NJ,trad,St.George's-by-the-River Episcopal Church
TENAFLY,NJ,chime,Jno.S.Lyle Memorial Tower
TRENTON,NJ,chime,St.Mary's Cathedral (RC) (St.Mary of the Assumption) (formerly St.Mary's Church)
UPPER MONTCLAIR - PC,NJ,chime,The Presbyterian Church of Upper Montclair (PCUSA)
UPPER MONTCLAIR - STJ,NJ,chime,St.James Episcopal Church
VINELAND,NJ,chime,Trinity Episcopal Church
WEST NEW YORK,NJ,chime,St.Joseph of the Palisades RC Church
WILDWOOD,NJ,chime,Assumption of the Blessed Virgin Mary Catholic Church
ALBANY,NY,IC,Immaculate Conception Cathedral (RC)
ALBANY,NY,CH,City Hall
ALBANY,NY,STJ,St. Joseph's RC Church
ALBANY,NY,STP,St. Peter's Episcopal Church
ALFRED,NY,trad,Davis Memorial Carillon, Alfred University
AMSTERDAM,NY,chime,St. Mary's RC Church
ASTORIA,NY,chime,Episcopal Church of the Redeemer
AUBURN,NY,chime,Episcopal Church of SS. Peter & John
AURORA,NY,chime,Main Hall, Wells College
BINGHAMTON,NY,chime,Christ Episcopal Church
BREWSTER,NY,ring,St. Cuthbert's Chapel, Melrose School (Episcopal)
BRIARCLIFF MANOR,NY,,See SCARBOROUGH
BRONX,NY,OLM,(unknown, elsewhere), was at Our Lady of Mercy School
BRONX,NY,STPE,St. Peter's Episcopal Church
BRONXVILLE,NY,BRC,The Reformed Church of Bronxville (Dutch Reformed Church)
BRONXVILLE,NY,VLC,Wyman Memorial Carillon, Village Lutheran Church (LCMS)
BROOKLYN,NY,BSC,Blessed Sacrament RC Church
BROOKLYN,NY,OLGC,Our Lady of Good Counsel Church (RC)
BROOKLYN,NY,RDC,Flatbush Reformed Church (originally Reformed Dutch Church)
BROOKLYN,NY,STAE,Middle School Building (was St. Ann's Episcopal Church), Packer Collegiate Institute
BROOKLYN,NY,STBA,St. Bartholomew's Episcopal Church
BROOKLYN,NY,STBR,St. Brigid's Catholic Church
BROOKLYN,NY,STMK,St. Mark's Evang. Lutheran Church (LCMS)
BROOKLYN,NY,STMY,St. Mary Star of the Sea Catholic Church
BROOKLYN,NY,STP,St. Peter's Evangelical Lutheran Church (ELCA; was once called 1st Ger. Ev. Luth. St. Peter's Church)
BROOKLYN,NY,STTE,St. Teresa of Avila Catholic Church
BROOKLYN,NY,STTH,St. Thomas' Episcopal Church
BUFFALO,NY,A,Assumption of the BVM Catholic Church (was Assumption Polish Cath. Church)
BUFFALO,NY,FL,Forest Lawn Cemetery
BUFFALO,NY,,St. Mary's Catholic Church
BUFFALO,NY,STM,St. Michael's Catholic Church
BUFFALO,NY,STP,St. Paul's Episcopal Cathedral (originally St. Paul's Episcopal Church)
CAMBRIDGE,NY,chime,New Skete Monastery (Eastern Orthodox)
CANAJOHARIE,NY,chime,Canajoharie United Methodist Church (originally First Methodist Church)
CANTON,NY,chime,Bacheller Memorial Chimes, Gunnison Memorial Chapel, St. Lawrence University
CHAPPAQUA,NY,chime,Episcopal Church of St. Mary the Virgin
CHAUTAUQUA,NY,chime,Miller Bell Tower, Chautauqua Institution
CLIFTON,NY,,St. John PE Church, See STATEN ISLAND
COHOES,NY,STA,St. Agnes RC Church
DIAMOND POINT,NY,chime,Diamond Point Community Church
ENDICOTT,NY,chime,First United Methodist Church
GARDEN CITY,NY,chime,Episcopal Cathedral of the Incarnation
GENEVA,NY,chime,St. Peter's Memorial Episcopal Church
GLOVERSVILLE,NY,FC,First Congregational Church (UCC)
GLOVERSVILLE,NY,OLMC,Church of the Holy Spirit (RC) (was Our Lady of Mt. Carmel Church)
GREAT NECK,NY,chime,All Saints' Episcopal Church
HAVERSTRAW,NY,chime,St. Peter's Catholic Church
HONEOYE FALLS,NY,chime,St. John's Episcopal Church
HOOSICK FALLS,NY,chime,St. Mark's Episcopal Church
ITHACA,NY,chime,The Cornell Chimes, McGraw Tower, Uris Library (formerly Main Library), Cornell University
JAMESTOWN,NY,chime,St. Luke's Episcopal Church
JOHNSON CITY,NY,chime,St. James' Catholic Church
JOHNSTOWN,NY,chime,1st Presbyterian Church (PCUSA)
JORDANVILLE,NY,1,zvon,Church, Holy Trinity Russian Orthodox Monastery (ROCOR)
JORDANVILLE,NY,2,zvon/great,Gatehouse, Holy Trinity Russian Orthodox Monastery (ROCOR)
KINGSTON,NY,chime,Evangelical Lutheran Church of the Redeemer (ELCA)
LARCHMONT,NY,KKH,chime,King-Kerr House
LARCHMONT,NY,STJ,chime,St. John's Episcopal Church
LITTLE FALLS,NY,chime,Holy Family Parish (formerly St. Mary RC Church)
MALONE,NY,chime,Howard Memorial Chimes, First Congregational Church (UCC)
MAMARONECK,NY,chime,St. Thomas Episcopal Church
MIDDLETOWN,NY,chime,St. Joseph's Catholic Church
NANUET,NY,zvon,Novo-Diveevo Russian Orthodox Convent
NEW YORK,NY,A,chime,Episcopal Church of the Ascension
NEW YORK,NY,CP,non-trad,Central Presbyterian Church
NEW YORK,NY,G,chime,Grace Episcopal Church
NEW YORK,NY,HR,chime,Most Holy Redeemer Catholic Church
NEW YORK,NY,HTC,chime,The Church of the Holy Trinity (Episc.)
NEW YORK,NY,IC,chime,Immaculate Conception RC Church (formerly Grace Chapel, Episcopal)
NEW YORK,NY,RC,trad,Laura Spelman Rockefeller Memorial Carillon, Riverside Church (interdenominational: ABC/UCC)
NEW YORK,NY,STAL,chime,St. Aloysius Church
NEW YORK,NY,STAN,chime,The Seguin Chimes, St. Andrew's Episcopal Church
NEW YORK,NY,STM,trad,St. Martin's Episcopal Church
NEW YORK,NY,STMI,chime,St. Michael's Episcopal Church
NEW YORK,NY,STPA,chime,St. Patrick's Cathedral (RC)
NEW YORK,NY,STT,trad,St. Thomas Church (Episcopal)
NEW YORK,NY,TC/1,ring/chime,Trinity Parish Church (Episcopal)
NEW YORK,NY,TC/2,ring,Trinity Parish Church (Episcopal)
NEW YORK,NY,,great,City Hall
NIAGARA FALLS,NY,Z,chime,Zion Lutheran Church (ELCA)
NYACK,NY,zvon,Holy Virgin Protection Church (Russian Orthodox - ROCOR)
OWEGO,NY,chime,St. Paul's Episcopal Church
